SampleID,Target [1 for A->B; -1 for B->A and 0otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train3493,1,1
train3494,1,1
train3495,1,1
train3496,-1,2
train3497,-1,2
train3498,-1,2
train3499,1,1
train3500,-1,2
train3501,0,4
train3502,0,3
train3503,1,1
train3504,-1,2
train3505,0,3
train3506,0,3
train3507,0,4
train3508,0,4
train3509,0,3
train3510,-1,2
train3511,-1,2
train3512,1,1
train3513,1,1
train3514,0,3
train3515,1,1
train3516,1,1
train3517,-1,2
train3518,0,3
train3519,0,3
train3520,0,4
train3521,0,4
train3522,1,1
train3523,-1,2
train3524,-1,2
train3525,0,4
train3526,-1,2
train3527,1,1
train3528,0,4
train3529,0,3
train3530,1,1
train3531,1,1
train3532,0,3
train3533,-1,2
train3534,-1,2
train3535,0,3
train3536,1,1
train3537,1,1
train3538,0,3
train3539,-1,2
train3540,0,3
train3541,0,3
train3542,0,3
train3543,0,3
train3544,-1,2
train3545,1,1
train3546,-1,2
train3547,0,4
train3548,-1,2
train3549,-1,2
train3550,-1,2
train3551,0,3
train3552,0,4
train3553,-1,2
train3554,0,4
train3555,0,3
train3556,1,1
train3557,0,4
train3558,-1,2
train3559,0,3
train3560,1,1
train3561,1,1
train3562,-1,2
train3563,-1,2
train3564,0,4
train3565,0,3
train3566,0,4
train3567,-1,2
train3568,0,3
train3569,1,1
train3570,-1,2
train3571,1,1
train3572,0,3
train3573,0,4
train3574,1,1
train3575,-1,2
train3576,1,1
train3577,0,4
train3578,0,3
train3579,-1,2
train3580,0,3
train3581,1,1
train3582,1,1
train3583,-1,2
train3584,1,1
train3585,0,4
train3586,-1,2
train3587,-1,2
train3588,0,4
train3589,-1,2
train3590,-1,2
train3591,0,3
train3592,0,3
train3593,-1,2
train3594,0,4
train3595,0,4
train3596,-1,2
train3597,0,4
train3598,-1,2
train3599,0,3
train3600,-1,2
train3601,1,1
train3602,1,1
train3603,-1,2
train3604,0,4
train3605,0,4
train3606,1,1
train3607,-1,2
train3608,0,3
train3609,0,4
train3610,1,1
train3611,0,4
train3612,1,1
train3613,0,4
train3614,1,1
train3615,0,3
train3616,1,1
train3617,1,1
train3618,0,3
train3619,0,3
train3620,-1,2
train3621,-1,2
train3622,-1,2
train3623,1,1
train3624,1,1
train3625,0,4
train3626,-1,2
train3627,-1,2
train3628,0,3
train3629,-1,2
train3630,0,3
train3631,0,4
train3632,1,1
train3633,1,1
train3634,0,3
train3635,-1,2
train3636,1,1
train3637,0,4
train3638,0,3
train3639,0,3
train3640,0,4
train3641,-1,2
train3642,-1,2
train3643,0,4
train3644,0,3
train3645,1,1
train3646,-1,2
train3647,0,3
train3648,0,3
train3649,0,4
train3650,0,4
train3651,0,3
train3652,0,4
train3653,0,4
train3654,-1,2
train3655,-1,2
train3656,0,4
train3657,0,3
train3658,-1,2
train3659,0,4
train3660,0,3
train3661,0,3
train3662,-1,2
train3663,-1,2
train3664,-1,2
train3665,0,3
train3666,-1,2
train3667,1,1
train3668,-1,2
train3669,0,4
train3670,-1,2
train3671,1,1
train3672,0,3
train3673,0,3
train3674,-1,2
train3675,0,4
train3676,1,1
train3677,1,1
train3678,0,3
train3679,0,3
train3680,0,4
train3681,0,3
train3682,1,1
train3683,0,3
train3684,-1,2
train3685,1,1
train3686,1,1
train3687,0,3
train3688,0,3
train3689,0,4
train3690,0,3
train3691,1,1
train3692,-1,2
train3693,-1,2
train3694,-1,2
train3695,-1,2
train3696,0,4
train3697,0,4
train3698,0,4
train3699,0,3
train3700,0,4
train3701,1,1
train3702,0,3
train3703,1,1
train3704,1,1
train3705,0,3
train3706,1,1
train3707,-1,2
train3708,1,1
train3709,-1,2
train3710,1,1
train3711,0,3
train3712,-1,2
train3713,0,4
train3714,0,3
train3715,0,3
train3716,0,3
train3717,0,3
train3718,-1,2
train3719,1,1
train3720,0,3
train3721,0,3
train3722,0,4
train3723,0,3
train3724,0,4
train3725,0,3
train3726,-1,2
train3727,1,1
train3728,0,3
train3729,1,1
train3730,-1,2
train3731,0,4
train3732,0,4
train3733,0,3
train3734,1,1
train3735,1,1
train3736,-1,2
train3737,0,3
train3738,0,3
train3739,-1,2
train3740,-1,2
train3741,0,3
train3742,1,1
train3743,0,4
train3744,0,4
train3745,-1,2
train3746,0,3
train3747,0,3
train3748,-1,2
train3749,1,1
train3750,-1,2
train3751,0,3
train3752,1,1
train3753,0,3
train3754,1,1
train3755,0,3
train3756,1,1
train3757,-1,2
train3758,0,3
train3759,1,1
train3760,-1,2
train3761,0,3
train3762,0,3
train3763,0,4
train3764,0,4
train3765,0,4
train3766,0,3
train3767,1,1
train3768,0,3
train3769,0,4
train3770,-1,2
train3771,0,4
train3772,0,4
train3773,-1,2
train3774,1,1
train3775,0,4
train3776,1,1
train3777,0,4
train3778,-1,2
train3779,0,4
train3780,1,1
train3781,-1,2
train3782,1,1
train3783,0,4
train3784,-1,2
train3785,1,1
train3786,-1,2
train3787,1,1
train3788,0,3
train3789,1,1
train3790,0,3
train3791,0,3
train3792,-1,2
train3793,1,1
train3794,0,4
train3795,0,3
train3796,0,3
train3797,1,1
train3798,-1,2
train3799,1,1
train3800,-1,2
train3801,0,3
train3802,0,4
train3803,1,1
train3804,0,4
train3805,1,1
train3806,0,3
train3807,-1,2
train3808,-1,2
train3809,0,4
train3810,1,1
train3811,0,4
train3812,1,1
train3813,-1,2
train3814,1,1
train3815,1,1
train3816,0,4
train3817,0,3
train3818,0,3
train3819,0,4
train3820,0,3
train3821,-1,2
train3822,0,3
train3823,0,3
train3824,1,1
train3825,0,3
train3826,-1,2
train3827,0,3
train3828,0,3
train3829,1,1
train3830,1,1
train3831,-1,2
train3832,1,1
train3833,-1,2
train3834,0,3
train3835,1,1
train3836,-1,2
train3837,0,3
train3838,0,3
train3839,0,4
train3840,0,4
train3841,-1,2
train3842,1,1
train3843,1,1
train3844,0,4
train3845,-1,2
train3846,1,1
train3847,0,3
train3848,0,3
train3849,0,3
train3850,-1,2
train3851,0,4
train3852,-1,2
train3853,1,1
train3854,-1,2
train3855,-1,2
train3856,1,1
train3857,-1,2
train3858,0,4
train3859,0,4
train3860,0,3
train3861,0,3
train3862,1,1
train3863,1,1
train3864,0,3
train3865,1,1
train3866,0,4
train3867,0,3
train3868,0,4
train3869,-1,2
train3870,0,3
train3871,-1,2
train3872,1,1
train3873,0,4
train3874,0,4
train3875,-1,2
train3876,0,4
train3877,1,1
train3878,0,4
train3879,1,1
train3880,0,4
train3881,0,3
train3882,0,3
train3883,0,4
train3884,1,1
train3885,-1,2
train3886,-1,2
train3887,-1,2
train3888,-1,2
train3889,0,4
train3890,0,3
train3891,0,3
train3892,1,1
train3893,1,1
train3894,0,3
train3895,1,1
train3896,1,1
train3897,1,1
train3898,0,3
train3899,0,3
train3900,0,3
train3901,0,3
train3902,-1,2
train3903,1,1
train3904,1,1
train3905,0,3
train3906,1,1
train3907,1,1
train3908,0,4
train3909,0,4
train3910,-1,2
train3911,1,1
train3912,0,3
train3913,-1,2
train3914,0,3
train3915,0,4
train3916,1,1
train3917,-1,2
train3918,1,1
train3919,0,3
train3920,0,4
train3921,-1,2
train3922,1,1
train3923,0,4
train3924,0,4
train3925,0,4
train3926,0,3
train3927,-1,2
train3928,0,3
train3929,1,1
train3930,1,1
train3931,0,4
train3932,0,3
train3933,0,4
train3934,-1,2
train3935,0,4
train3936,-1,2
train3937,1,1
train3938,1,1
train3939,0,4
train3940,0,4
train3941,0,4
train3942,-1,2
train3943,0,3
train3944,0,4
train3945,-1,2
train3946,0,4
train3947,1,1
train3948,0,3
train3949,-1,2
train3950,-1,2
train3951,0,3
train3952,-1,2
train3953,-1,2
train3954,0,4
train3955,0,4
train3956,0,4
train3957,-1,2
train3958,0,4
train3959,0,4
train3960,0,4
train3961,1,1
train3962,1,1
train3963,-1,2
train3964,0,4
train3965,-1,2
train3966,0,4
train3967,1,1
train3968,1,1
train3969,0,3
train3970,1,1
train3971,-1,2
train3972,0,3
train3973,0,4
train3974,0,4
train3975,0,3
train3976,1,1
train3977,0,3
train3978,0,3
train3979,-1,2
train3980,1,1
train3981,0,3
train3982,1,1
train3983,0,3
train3984,0,3
train3985,0,4
train3986,0,4
train3987,0,3
train3988,1,1
train3989,1,1
train3990,1,1
train3991,0,3
train3992,1,1
train3993,-1,2
train3994,0,3
train3995,1,1
train3996,1,1
train3997,0,4
train3998,0,4
train3999,0,4
train4000,-1,2
train4001,0,3
train4002,0,3
train4003,-1,2
train4004,-1,2
train4005,-1,2
train4006,1,1
train4007,-1,2
train4008,0,4
train4009,0,3
train4010,1,1
train4011,-1,2
train4012,-1,2
train4013,0,3
train4014,-1,2
train4015,1,1
train4016,0,3
train4017,0,3
train4018,0,3
train4019,0,3
train4020,-1,2
train4021,0,4
train4022,-1,2
train4023,0,3
train4024,0,4
train4025,0,4
train4026,1,1
train4027,-1,2
train4028,0,4
train4029,0,3
train4030,0,4
train4031,0,3
train4032,0,4
train4033,1,1
train4034,-1,2
train4035,-1,2
train4036,1,1
train4037,0,4
train4038,0,4
train4039,1,1
train4040,0,4
train4041,0,3
train4042,0,3
train4043,0,4
train4044,0,3
train4045,-1,2
train4046,0,4
train4047,0,4
train4048,-1,2
train4049,-1,2
train4050,0,3
